killWeight,collectWeight,jumpWeight,timeWeight,winWeight,loseWeight,completion,remaining_time,mariostate,total_kill,stomp_kill,fire_kill,shell_kill,hurts,question_blocks,bump_bricks,destroyed_bricks,coins,tile_coins,mushrooms,fireflowers,jumps
-3.0,1.0,-3.0,-1.0,-10.0,10.0,0.8581163,38.6,1.0,5.0,4.4,0.0,0.4,0.0,0.8,2.8,2.8,0.4,0.0,0.0,0.0,20.0
-3.0,1.0,-3.0,0.0,-10.0,10.0,0.923003,38.0,0.4,8.6,8.2,0.0,0.2,6.0,0.8,1.4,1.4,1.2,0.0,0.0,0.0,16.6
-3.0,1.0,-1.0,-3.0,-10.0,10.0,0.9655124,28.6,1.0,5.4,5.0,0.0,0.0,0.0,1.0,2.8,2.8,0.8,0.0,0.0,0.0,38.6
-3.0,1.0,-1.0,-1.0,-10.0,10.0,1.0,37.0,0.8,6.6,5.6,0.0,0.6,2.2,1.0,3.0,3.0,0.6,0.0,0.0,0.0,22.8
-3.0,1.0,-1.0,0.0,-10.0,10.0,0.9227692,37.8,0.4,9.4,7.6,0.0,1.6,6.6,0.6,1.8,1.8,1.2,0.0,0.0,0.0,18.0
-3.0,1.0,0.0,-3.0,-10.0,10.0,0.9639366,30.2,1.0,5.8,5.6,0.0,0.0,0.2,0.2,2.0,2.0,0.2,0.0,0.0,0.0,39.4
-3.0,1.0,0.0,-1.0,-10.0,10.0,0.9639366,30.2,1.0,5.8,5.6,0.0,0.0,0.2,0.2,2.0,2.0,0.2,0.0,0.0,0.0,39.4
-3.0,1.0,0.0,0.0,-10.0,10.0,0.9035753,38.0,1.0,11.8,10.0,0.0,1.6,0.4,1.0,2.0,2.0,0.2,0.0,0.0,0.0,18.0
-3.0,3.0,-3.0,-3.0,-10.0,10.0,1.0,37.0,0.8,6.4,5.4,0.0,0.6,2.2,1.0,3.0,3.0,0.6,0.0,0.0,0.0,23.0
-3.0,3.0,-3.0,-1.0,-10.0,10.0,0.8581163,38.6,1.0,5.0,4.4,0.0,0.4,0.0,0.8,2.8,2.8,0.4,0.0,0.0,0.0,20.0
-3.0,3.0,-3.0,0.0,-10.0,10.0,0.923003,37.4,0.4,9.4,7.6,0.0,1.6,6.8,0.4,0.4,0.4,1.0,0.0,0.0,0.0,17.8
-3.0,3.0,-1.0,-3.0,-10.0,10.0,0.96436465,30.8,1.0,5.8,5.0,0.0,0.0,0.0,1.0,2.8,2.8,0.4,0.0,0.0,0.0,34.2
-3.0,3.0,-1.0,-1.0,-10.0,10.0,1.0,37.0,0.8,6.6,5.6,0.0,0.6,2.2,1.0,3.0,3.0,0.6,0.0,0.0,0.0,22.8
-3.0,3.0,-1.0,0.0,-10.0,10.0,0.923003,37.8,0.4,10.0,8.2,0.0,1.6,6.0,0.8,1.6,1.6,1.0,0.0,0.0,0.0,17.6
-3.0,3.0,0.0,-3.0,-10.0,10.0,0.96534455,30.0,1.0,5.8,5.6,0.0,0.0,0.2,0.2,2.0,2.0,0.4,0.0,0.0,0.0,28.0
-3.0,3.0,0.0,-1.0,-10.0,10.0,0.9639366,30.2,1.0,5.8,5.6,0.0,0.0,0.2,0.2,2.0,2.0,0.2,0.0,0.0,0.0,39.4
-3.0,3.0,0.0,0.0,-10.0,10.0,0.9035753,38.0,1.0,12.4,10.2,0.0,2.0,0.0,1.0,2.0,2.0,0.2,0.0,0.0,0.0,17.6
-1.0,-3.0,-3.0,-3.0,-10.0,10.0,1.0,36.8,0.8,6.4,5.0,0.0,1.0,2.2,2.2,2.2,2.2,7.0,0.0,0.0,0.0,23.6
-1.0,-3.0,-3.0,-1.0,-10.0,10.0,1.0,36.6,1.0,6.2,5.4,0.0,0.4,0.0,1.8,2.4,2.4,6.8,0.0,0.0,0.0,23.8
-1.0,-3.0,-3.0,0.0,-10.0,10.0,1.0,36.0,0.2,9.8,8.6,0.0,0.8,9.0,3.4,0.2,0.2,11.0,0.0,0.0,0.0,22.0
-1.0,-3.0,-1.0,-3.0,-10.0,10.0,1.0,36.6,1.0,4.6,4.2,0.0,0.0,0.0,2.0,2.4,2.4,6.8,0.0,0.0,0.0,24.6
-1.0,-3.0,-1.0,-1.0,-10.0,10.0,1.0,36.4,0.8,6.6,5.2,0.0,1.0,2.2,2.2,2.2,2.2,7.6,0.0,0.0,0.0,24.2
-1.0,-3.0,-1.0,0.0,-10.0,10.0,1.0,36.2,0.4,10.0,8.0,0.0,1.6,6.6,3.0,0.4,0.4,10.6,0.0,0.0,0.0,21.8
-1.0,-3.0,0.0,-3.0,-10.0,10.0,1.0,37.6,1.0,5.8,5.6,0.0,0.0,0.0,2.6,2.4,2.4,7.2,0.0,0.0,0.0,23.2
-1.0,-3.0,0.0,-1.0,-10.0,10.0,1.0,37.6,1.0,5.8,5.6,0.0,0.0,0.0,2.6,2.4,2.4,7.2,0.0,0.0,0.0,23.2
-1.0,-3.0,0.0,0.0,-10.0,10.0,0.900507,36.6,0.6,11.8,10.6,0.0,1.0,4.4,5.2,0.2,0.2,10.2,0.0,0.0,0.0,23.4
-1.0,-1.0,-3.0,-3.0,-10.0,10.0,1.0,36.8,0.8,6.4,5.0,0.0,1.0,2.2,2.2,2.2,2.2,7.0,0.0,0.0,0.0,23.6
-1.0,-1.0,-3.0,-1.0,-10.0,10.0,1.0,37.0,1.0,5.4,4.6,0.0,0.4,0.0,1.8,2.4,2.4,6.8,0.0,0.0,0.0,23.8
-1.0,-1.0,-3.0,0.0,-10.0,10.0,1.0,36.4,0.4,9.0,7.2,0.0,1.4,6.6,3.0,0.4,0.4,10.4,0.0,0.0,0.0,22.0
-1.0,-1.0,-1.0,-3.0,-10.0,10.0,1.0,36.6,1.0,4.6,4.2,0.0,0.0,0.0,2.0,2.4,2.4,6.8,0.0,0.0,0.0,24.6
-1.0,-1.0,-1.0,-1.0,-10.0,10.0,1.0,36.4,0.8,6.6,5.2,0.0,1.0,2.2,2.2,2.2,2.2,7.8,0.0,0.0,0.0,24.2
-1.0,-1.0,-1.0,0.0,-10.0,10.0,1.0,35.8,0.4,9.2,8.2,0.0,0.6,6.6,3.0,0.2,0.2,10.6,0.0,0.0,0.0,21.6
-1.0,-1.0,0.0,-3.0,-10.0,10.0,1.0,37.6,1.0,5.8,5.6,0.0,0.0,0.0,2.6,2.4,2.4,7.2,0.0,0.0,0.0,23.2
-1.0,-1.0,0.0,-1.0,-10.0,10.0,1.0,37.6,1.0,5.8,5.6,0.0,0.0,0.0,2.6,2.4,2.4,7.2,0.0,0.0,0.0,23.2
-1.0,-1.0,0.0,0.0,-10.0,10.0,0.900507,36.4,0.6,13.0,11.2,0.0,1.4,4.4,5.0,0.6,0.6,10.2,0.0,0.0,0.0,23.4
-1.0,0.0,-3.0,-3.0,-10.0,10.0,1.0,37.6,0.8,5.8,5.0,0.0,0.6,2.2,1.8,2.2,2.2,5.2,0.0,0.0,0.0,22.4
-1.0,0.0,-3.0,-1.0,-10.0,10.0,0.8581163,38.6,1.0,5.2,4.8,0.0,0.4,0.0,2.0,2.0,2.0,4.2,0.0,0.0,0.0,20.4
-1.0,0.0,-3.0,0.0,-10.0,10.0,1.0,36.8,0.4,9.2,8.2,0.0,0.6,6.6,1.4,1.8,1.8,5.2,0.0,0.0,0.0,19.0
-1.0,0.0,-1.0,-3.0,-10.0,10.0,1.0,37.8,1.0,4.6,4.4,0.0,0.0,0.0,1.8,2.4,2.4,5.6,0.0,0.0,0.0,22.4
-1.0,0.0,-1.0,-1.0,-10.0,10.0,1.0,37.6,0.8,5.8,5.0,0.0,0.6,2.2,1.8,2.2,2.2,5.0,0.0,0.0,0.0,22.2
-1.0,0.0,-1.0,0.0,-10.0,10.0,1.0,36.8,0.6,10.4,8.6,0.0,1.4,4.4,0.8,1.8,1.8,3.8,0.0,0.0,0.0,20.2
-1.0,0.0,0.0,-3.0,-10.0,10.0,1.0,38.2,1.0,5.8,5.6,0.0,0.0,0.2,0.6,2.2,2.2,2.6,0.0,0.0,0.0,19.8
-1.0,0.0,0.0,-1.0,-10.0,10.0,1.0,38.2,1.0,5.8,5.6,0.0,0.0,0.2,0.6,2.2,2.2,2.6,0.0,0.0,0.0,19.8
-1.0,0.0,0.0,0.0,-10.0,10.0,1.0,36.8,0.8,13.4,11.0,0.0,2.0,2.0,1.4,2.0,2.0,3.4,0.0,0.0,0.0,20.2
-1.0,1.0,-3.0,-3.0,-10.0,10.0,0.9647085,34.8,0.8,6.2,5.2,0.0,0.6,2.2,1.0,2.8,2.8,0.6,0.0,0.0,0.0,27.0
-1.0,1.0,-3.0,-1.0,-10.0,10.0,0.8581163,38.6,1.0,5.2,4.6,0.0,0.4,0.0,0.8,2.8,2.8,0.4,0.0,0.0,0.0,20.0
-1.0,1.0,-3.0,0.0,-10.0,10.0,0.923003,37.8,0.2,8.8,8.0,0.0,0.6,8.0,0.8,1.4,1.4,1.0,0.0,0.0,0.0,17.0
-1.0,1.0,-1.0,-3.0,-10.0,10.0,0.96487176,28.6,1.0,5.4,5.0,0.0,0.0,0.0,1.0,2.8,2.8,0.8,0.0,0.0,0.0,38.6
-1.0,1.0,-1.0,-1.0,-10.0,10.0,1.0,37.0,0.8,6.4,5.4,0.0,0.6,2.2,1.0,3.0,3.0,0.6,0.0,0.0,0.0,23.0
-1.0,1.0,-1.0,0.0,-10.0,10.0,0.923003,37.4,0.6,9.8,7.8,0.0,1.8,4.0,0.6,1.8,1.8,1.2,0.0,0.0,0.0,19.8
-1.0,1.0,0.0,-3.0,-10.0,10.0,0.9639366,30.2,1.0,5.8,5.6,0.0,0.0,0.2,0.2,2.0,2.0,0.2,0.0,0.0,0.0,39.4
-1.0,1.0,0.0,-1.0,-10.0,10.0,0.9639366,30.2,1.0,5.8,5.6,0.0,0.0,0.2,0.2,2.0,2.0,0.2,0.0,0.0,0.0,39.4
-1.0,1.0,0.0,0.0,-10.0,10.0,0.9035753,38.2,0.8,10.8,9.2,0.0,1.4,2.6,0.8,0.8,0.8,0.2,0.0,0.0,0.0,18.4
-1.0,3.0,-3.0,-3.0,-10.0,10.0,0.9672887,37.4,0.8,6.2,5.2,0.0,0.6,2.2,0.8,3.0,3.0,0.4,0.0,0.0,0.0,22.2
-1.0,3.0,-3.0,-1.0,-10.0,10.0,0.8581163,38.4,1.0,5.0,4.4,0.0,0.4,0.2,0.4,3.2,3.2,0.0,0.0,0.0,0.0,20.8
-1.0,3.0,-3.0,0.0,-10.0,10.0,0.923003,38.0,0.2,9.6,7.6,0.0,1.8,8.0,0.4,1.4,1.4,0.8,0.0,0.0,0.0,17.6
-1.0,3.0,-1.0,-3.0,-10.0,10.0,0.9665386,28.6,1.0,5.4,5.0,0.0,0.0,0.0,0.8,3.0,3.0,0.6,0.0,0.0,0.0,38.6
-1.0,3.0,-1.0,-1.0,-10.0,10.0,1.0,37.2,0.8,5.8,4.8,0.0,0.6,2.2,0.8,3.4,3.4,0.2,0.0,0.0,0.0,23.2
-1.0,3.0,-1.0,0.0,-10.0,10.0,0.9227692,37.6,0.6,9.8,7.8,0.0,1.8,4.6,1.0,1.6,1.6,1.2,0.0,0.0,0.0,17.6
-1.0,3.0,0.0,-3.0,-10.0,10.0,0.965514,30.0,1.0,5.8,5.6,0.0,0.0,0.2,0.2,2.0,2.0,0.4,0.0,0.0,0.0,37.2
-1.0,3.0,0.0,-1.0,-10.0,10.0,0.965514,30.0,1.0,5.8,5.6,0.0,0.0,0.2,0.2,2.0,2.0,0.4,0.0,0.0,0.0,37.2
-1.0,3.0,0.0,0.0,-10.0,10.0,0.9226513,37.8,1.0,12.0,10.2,0.0,1.6,0.2,0.6,2.2,2.2,0.0,0.0,0.0,0.0,18.2
0.0,-3.0,-3.0,-3.0,-10.0,10.0,1.0,37.6,1.0,4.4,4.0,0.0,0.0,0.0,1.6,2.8,2.8,6.4,0.0,0.0,0.0,23.0
0.0,-3.0,-3.0,-1.0,-10.0,10.0,1.0,37.0,1.0,4.2,3.8,0.0,0.0,0.0,2.0,2.8,2.8,7.0,0.0,0.0,0.0,24.6
0.0,-3.0,-3.0,0.0,-10.0,10.0,1.0,37.4,0.4,7.8,7.4,0.0,0.0,7.0,3.4,0.2,0.2,10.2,0.0,0.0,0.0,22.4
0.0,-3.0,-1.0,-3.0,-10.0,10.0,1.0,37.2,1.0,4.2,4.0,0.0,0.0,0.0,2.0,2.8,2.8,6.8,0.0,0.0,0.0,23.8
0.0,-3.0,-1.0,-1.0,-10.0,10.0,1.0,37.2,1.0,4.4,4.0,0.0,0.0,0.0,1.6,2.8,2.8,6.8,0.0,0.0,0.0,23.6
0.0,-3.0,-1.0,0.0,-10.0,10.0,1.0,36.8,0.2,7.0,5.8,0.0,0.8,9.2,3.6,0.6,0.6,9.8,0.0,0.0,0.0,24.0
0.0,-3.0,0.0,-3.0,-10.0,10.0,1.0,37.6,1.0,4.2,3.4,0.0,0.0,0.0,2.8,2.2,2.2,7.4,0.0,0.0,0.0,25.0
0.0,-3.0,0.0,-1.0,-10.0,10.0,1.0,37.6,1.0,4.2,3.4,0.0,0.0,0.0,2.8,2.2,2.2,7.4,0.0,0.0,0.0,25.0
0.0,-3.0,0.0,0.0,-10.0,10.0,0.8590129,39.6,0.8,4.0,3.6,0.0,0.2,2.2,4.2,2.0,2.0,8.2,0.0,0.0,0.0,21.6
0.0,-1.0,-3.0,-3.0,-10.0,10.0,1.0,37.6,1.0,4.4,4.0,0.0,0.0,0.0,1.6,2.8,2.8,6.4,0.0,0.0,0.0,23.0
0.0,-1.0,-3.0,-1.0,-10.0,10.0,0.903403,37.8,1.0,3.8,3.6,0.0,0.0,0.0,2.0,2.6,2.6,5.8,0.0,0.0,0.0,23.0
0.0,-1.0,-3.0,0.0,-10.0,10.0,1.0,37.0,0.4,7.0,6.4,0.0,0.2,7.2,3.0,0.2,0.2,10.0,0.0,0.0,0.0,21.8
0.0,-1.0,-1.0,-3.0,-10.0,10.0,1.0,37.2,1.0,4.2,4.0,0.0,0.0,0.0,2.0,2.8,2.8,6.8,0.0,0.0,0.0,23.8
0.0,-1.0,-1.0,-1.0,-10.0,10.0,1.0,37.6,1.0,4.4,4.0,0.0,0.0,0.0,1.6,2.8,2.8,6.4,0.0,0.0,0.0,23.0
0.0,-1.0,-1.0,0.0,-10.0,10.0,1.0,37.0,0.4,6.8,6.4,0.0,0.0,7.0,3.8,0.4,0.4,10.4,0.0,0.0,0.0,22.8
0.0,-1.0,0.0,-3.0,-10.0,10.0,1.0,37.6,1.0,4.2,3.4,0.0,0.0,0.0,2.8,2.2,2.2,7.4,0.0,0.0,0.0,25.0
0.0,-1.0,0.0,-1.0,-10.0,10.0,1.0,37.6,1.0,4.2,3.4,0.0,0.0,0.0,2.8,2.2,2.2,7.4,0.0,0.0,0.0,25.0
0.0,-1.0,0.0,0.0,-10.0,10.0,0.8590129,39.8,0.8,4.0,3.8,0.0,0.2,2.2,4.6,2.0,2.0,8.6,0.0,0.0,0.0,21.0
0.0,0.0,-3.0,-3.0,-10.0,10.0,0.8565747,39.6,1.0,3.6,3.6,0.0,0.0,0.0,1.8,2.6,2.6,3.8,0.0,0.0,0.0,19.6
0.0,0.0,-3.0,-1.0,-10.0,10.0,0.8581163,39.0,1.0,2.6,2.6,0.0,0.0,0.0,1.8,2.4,2.4,4.0,0.0,0.0,0.0,21.8
0.0,0.0,-3.0,0.0,-10.0,10.0,1.0,38.0,0.2,5.6,5.2,0.0,0.0,8.8,0.6,0.2,0.2,4.2,0.0,0.0,0.0,21.4
0.0,0.0,-1.0,-3.0,-10.0,10.0,1.0,38.4,1.0,4.2,4.2,0.0,0.0,0.0,1.8,2.8,2.8,5.6,0.0,0.0,0.0,21.8
0.0,0.0,-1.0,-1.0,-10.0,10.0,1.0,38.4,1.0,4.0,4.0,0.0,0.0,0.0,1.8,2.8,2.8,5.0,0.0,0.0,0.0,22.2
0.0,0.0,-1.0,0.0,-10.0,10.0,1.0,37.8,0.4,5.6,5.2,0.0,0.0,6.4,0.8,1.6,1.6,4.2,0.0,0.0,0.0,21.2
0.0,0.0,0.0,-3.0,-10.0,10.0,1.0,38.2,1.0,4.6,3.8,0.0,0.0,0.2,0.6,2.4,2.4,2.6,0.0,0.0,0.0,21.0
0.0,0.0,0.0,-1.0,-10.0,10.0,1.0,38.2,1.0,4.6,3.8,0.0,0.0,0.2,0.6,2.4,2.4,2.6,0.0,0.0,0.0,21.0
0.0,0.0,0.0,0.0,-10.0,10.0,0.85952795,40.8,1.0,3.0,3.0,0.0,0.0,0.2,0.6,2.4,2.4,0.8,0.0,0.0,0.0,16.4
0.0,1.0,-3.0,-3.0,-10.0,10.0,1.0,37.8,1.0,4.0,3.8,0.0,0.0,0.0,0.8,3.4,3.4,0.2,0.0,0.0,0.0,22.2
0.0,1.0,-3.0,-1.0,-10.0,10.0,0.8581163,38.8,1.0,2.6,2.4,0.0,0.0,0.0,0.4,3.6,3.6,0.0,0.0,0.0,0.0,21.6
0.0,1.0,-3.0,0.0,-10.0,10.0,0.84070605,31.2,0.4,5.4,5.4,0.0,0.0,6.4,0.0,0.4,0.4,0.4,0.0,0.0,0.0,18.8
0.0,1.0,-1.0,-3.0,-10.0,10.0,1.0,37.2,1.0,4.8,4.4,0.0,0.0,0.0,0.6,3.8,3.8,0.4,0.0,0.0,0.0,23.0
0.0,1.0,-1.0,-1.0,-10.0,10.0,1.0,37.6,1.0,4.2,4.0,0.0,0.0,0.0,0.8,3.4,3.4,0.2,0.0,0.0,0.0,22.8
0.0,1.0,-1.0,0.0,-10.0,10.0,0.9247073,38.0,0.6,5.6,5.2,0.0,0.2,4.8,0.0,0.6,0.6,0.4,0.0,0.0,0.0,21.2
0.0,1.0,0.0,-3.0,-10.0,10.0,0.9654021,30.0,1.0,4.2,3.4,0.0,0.0,0.2,0.2,2.2,2.2,0.4,0.0,0.0,0.0,38.4
0.0,1.0,0.0,-1.0,-10.0,10.0,0.9654021,30.0,1.0,4.2,3.4,0.0,0.0,0.2,0.2,2.2,2.2,0.4,0.0,0.0,0.0,38.4
0.0,1.0,0.0,0.0,-10.0,10.0,0.85952795,40.8,1.0,2.8,2.8,0.0,0.0,0.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0
0.0,3.0,-3.0,-3.0,-10.0,10.0,0.8565747,39.0,1.0,3.0,2.8,0.0,0.0,0.0,0.8,3.0,3.0,0.0,0.0,0.0,0.0,20.6
0.0,3.0,-3.0,-1.0,-10.0,10.0,0.8581163,38.8,1.0,2.2,2.0,0.0,0.0,0.0,0.6,3.4,3.4,0.2,0.0,0.0,0.0,22.0
0.0,3.0,-3.0,0.0,-10.0,10.0,0.9151599,37.6,0.6,6.8,6.6,0.0,0.0,4.6,0.4,1.6,1.6,1.0,0.0,0.0,0.0,19.0
0.0,3.0,-1.0,-3.0,-10.0,10.0,1.0,37.2,1.0,4.8,4.4,0.0,0.0,0.0,0.6,3.8,3.8,0.4,0.0,0.0,0.0,23.0
0.0,3.0,-1.0,-1.0,-10.0,10.0,0.8565747,39.2,1.0,3.6,3.4,0.0,0.0,0.0,0.8,3.2,3.2,0.0,0.0,0.0,0.0,20.0
0.0,3.0,-1.0,0.0,-10.0,10.0,0.92303085,37.6,0.2,6.4,6.2,0.0,0.0,9.8,0.0,1.2,1.2,0.8,0.0,0.0,0.0,19.6
0.0,3.0,0.0,-3.0,-10.0,10.0,0.9654021,30.0,1.0,4.2,3.4,0.0,0.0,0.2,0.2,2.2,2.2,0.4,0.0,0.0,0.0,38.4
0.0,3.0,0.0,-1.0,-10.0,10.0,0.9654021,30.0,1.0,4.2,3.4,0.0,0.0,0.2,0.2,2.2,2.2,0.4,0.0,0.0,0.0,38.4
0.0,3.0,0.0,0.0,-10.0,10.0,0.85952795,40.6,1.0,3.6,3.6,0.0,0.0,0.0,0.2,2.2,2.2,0.0,0.0,0.0,0.0,16.0
1.0,-3.0,-3.0,-3.0,-10.0,10.0,1.0,36.0,1.0,1.2,0.8,0.0,0.0,0.0,2.0,3.4,3.4,7.6,0.0,0.0,0.0,29.2
1.0,-3.0,-3.0,-1.0,-10.0,10.0,0.90304244,37.8,1.0,1.8,1.4,0.0,0.2,0.0,1.8,2.6,2.6,6.2,0.0,0.0,0.0,25.0
1.0,-3.0,-3.0,0.0,-10.0,10.0,1.0,37.2,0.6,5.0,4.6,0.0,0.0,5.4,2.4,0.2,0.2,9.2,0.0,0.0,0.0,23.6
1.0,-3.0,-1.0,-3.0,-10.0,10.0,1.0,35.4,1.0,1.2,0.8,0.0,0.0,0.0,2.6,3.4,3.4,7.8,0.0,0.0,0.0,30.6
1.0,-3.0,-1.0,-1.0,-10.0,10.0,0.8586901,37.4,1.0,0.8,0.4,0.0,0.0,0.0,2.2,3.0,3.0,5.6,0.0,0.0,0.0,26.4
1.0,-3.0,-1.0,0.0,-10.0,10.0,1.0,36.6,0.4,4.6,4.0,0.0,0.2,8.0,2.6,0.2,0.2,9.6,0.0,0.0,0.0,25.0
1.0,-3.0,0.0,-3.0,-10.0,10.0,1.0,37.4,1.0,0.6,0.4,0.0,0.0,0.0,2.4,1.6,1.6,6.4,0.0,0.0,0.0,26.2
1.0,-3.0,0.0,-1.0,-10.0,10.0,1.0,37.4,1.0,0.6,0.4,0.0,0.0,0.0,2.4,1.6,1.6,6.4,0.0,0.0,0.0,26.2
1.0,-3.0,0.0,0.0,-10.0,10.0,0.8590129,39.2,0.4,0.6,0.6,0.0,0.0,7.0,4.8,1.2,1.2,8.8,0.0,0.0,0.0,23.4
1.0,-1.0,-3.0,-3.0,-10.0,10.0,1.0,36.4,1.0,0.8,0.4,0.0,0.0,0.0,1.2,3.6,3.6,6.0,0.0,0.0,0.0,28.8
1.0,-1.0,-3.0,-1.0,-10.0,10.0,0.90304244,37.2,1.0,1.6,1.4,0.0,0.0,0.0,1.0,3.2,3.2,5.4,0.0,0.0,0.0,25.6
1.0,-1.0,-3.0,0.0,-10.0,10.0,1.0,36.4,0.4,5.2,4.0,0.0,0.8,8.8,3.2,0.0,0.0,10.0,0.0,0.0,0.0,25.2
1.0,-1.0,-1.0,-3.0,-10.0,10.0,1.0,35.6,1.0,1.0,0.6,0.0,0.0,0.0,2.4,3.4,3.4,8.0,0.0,0.0,0.0,30.4
1.0,-1.0,-1.0,-1.0,-10.0,10.0,1.0,36.0,1.0,1.2,0.8,0.0,0.0,0.0,1.6,3.4,3.4,6.2,0.0,0.0,0.0,28.8
